Ti mɛ̀ ɓɔ̀t yɛ̂m.	Ti me bot yem.
À mɓı̄ibɛnɛ njɛɛ?	A mbiibene njee?
Njɛ nu à ŋkɛ̀ à mɓààgɛ nyɔ̂y?	Nje nu a ñke a mbaage nyoy?
Màmbɔk ma yeènɛ̀.	Mambok ma yééne.
Dı̀ mɓōlha cee.	Di mbôlha tjéé.
Lı̀ɓɔ̀m li hikòa (MLY).	Libom li hikôa (MLY).
Sonda ı̀ ǹtêŋ ŋkây isı̄ hyɛ̀ŋ.	Sônda i ntéñ ñkay isi hyeñ.
Kwı̀hlɛnɛ yɛ̂m i likòga i nnimı̂l.	Kwihlene yem i likôga i nnimil.
Pondi ı̀ ŋ̀kwɔ̂ ı̀ kahal ɓiiŋgɛ̀.	Pôndi i ñkwo i kahal biiñge.
À m̂ɓonol kwadɛ likòlòl.	A mbônôl kwade likôlôl.
Ù pı̀ŋgil ɓâŋ i jèl lı̂!	U piñgil bañ i jél li!
Màŋgɛ à m̂ɓând manyâŋ isı̄.	Mañge a mband manyañ isi.
Nyùu mı̀nsòn.	Nyuu minsôn.
Mɛ̀ nlà tı̂mbhɛ i hɔ̄p û, mɛ̀ ńyı̄ wɔ bı̀ɓèe.	Me nla timbhe i hop u, me nyi wo bibéé.
Mɛ̀ ŋ̀kâl nyɛ ŋgalà yàda.	Me ñkal nye ñgala yada.
Mɛ̀ m̂punūs tâ.	Me mpunus ta.
Mɛ̀ ǹnɛɛbɛ jàm ù ŋkàl.	Me nneebe jam u ñkal.
Màansɔ̄ŋ à mpùbla i ɓɔ̀ŋ màm ndi à ńyōnos ɓe mɔ.	Maansoñ a mpubla i boñ mam ndi a nyônôs bé mo.
À ǹhêŋlaha mɛ màhɔŋɔ̂l; dı̀ ǹhêŋlaha mbɔt yes.	A nhéñlaha me mahoñol; di nhéñlaha mbot yés.
Pàgà yada.	Paga yada.
Mal ma hiuu.	Mal ma hiuu.
"I kà ndòŋ ı̀ni ı̀ mpām ɓe ndik inyùu màsɔɔhɛ̀ nı̀ soga jɛ̄", Màteò 17:21.	"I ka ndôñ ini i mpam bé ndik inyuu masoohe ni sôga je", Matéô 17:21.
Pɔ̀hlɛnɛ mɛ̀ lı̀ɓàdò.	Pohlene me libadô.
Ù ɓèngà kòs mâm, ù sok kôs lihɛ̀lɛ̀. 	U bénga kôs mam, u sôk kôs lihele. 
Kàŋak mɛ̀ bı̀kɔŋgɛ̂.	Kañak me bikoñge.
Kɛl ı̀ ǹyɛ.	Kel i nye.
Nyùŋgɛ̀ i ndēŋghà.	Nyuñge i ndéñgha.
Màtı̀lâs mee ma ńyɔɔ̄ masày.	Matilas méé ma nyoo masay.
I[204]saŋmbāy à m̂ɓôdlaha mɛ jɛ̄ bisū bi ndedà.	I[204]sañmbay a mbôdlaha me je bisu bi ndéda.
À ǹsômha mɛ kòò i ɓɛ̄ɛ; dı̀ ǹsômha dikòò ces i ndɔ̀ndɔ̀k.	A nsômha me kôô i bee; di nsômha dikôô tjés i ndondok.
Màlêt à m̂ɓôŋha mɛ ǹsɔn yaŋgà.	Malét a mbôñha me nson yañga.
Lydia ŋgɔ̀ Bikoi à yè mɛ̀ yààɓum mudàa.	Lydia ñgo Bikôi a yé me yaabum mudaa.
Lı̀hùdùl kɛmbɛ̂.	Lihudul kembe.
Hı̀nùni hi ŋkahāp i ŋgı̀i ɛ̄.	Hinuni hi ñkahap i ñgii e.
Mɛ̀ɛnı̄ nyɛn à nlòòha lemel mɛ̂.	Meeni nyen a nlôôha lémél me.
Kı̀s màtoà.	Kis matôa.
Mɛ̀ ɓak i ɔ̄gɔ̂l lı̀ɓɔ̀ɔ̀ i njɛ̀l mbāy.	Me bak i ogol liboo i njel mbay.
Ɓa ŋkâŋ kɛmbɛ̂ ɓaŋɓaŋ!	Ba ñkañ kembe bañbañ!
Ù tı̀mbha ɓâŋ mɛ̀ nı̀ mbus; dı̀ ǹtı̂mbha i ɓòlo.	U timbha bañ me ni mbus; di ntimbha i bôlô.
Ù ŋgwēs ŋgaŋgâp bitı̀.	U ñgwés ñgañgap biti.
À nsūdɛ ɓe u.	A nsude bé u.
Mùt à yè (i) haŋgâ .	Mut a yé (i) hañga .
Piyà ini i mɓombòl.	Piya ini i mbômbôl.
Mɛ̀ ǹsombol man wɛ̀m bı̀kààt bi sûglù.	Me nsômbôl man wem bikaat bi suglu.
Kop i m̂ɓam ŋkanda.	Kôp i mbam ñkanda.
Nɔ̀ɔ̀dana ɓɔ̀ŋ lɛ bı̀ɓam bihomba.	Noodana boñ le bibam bihômba.
Bı̀ɓèbha gwɛ̂m gwɔbisô bi nholol lɔngɛ̂.	Bibébha gwem gwobisô bi nhôlôl longe.
Ɓɔ̀ŋgɛ ɓa mɓēhna ɓɔ nı̀ ɓɔ.	Boñge ba mbéhna bo ni bo.
Màndugi ma bijɛk.	Mandugi ma bijek.
...Mbègnàŋgà nû, mùt Fı̀listı̀à nu Gât...1Sàmuɛ̀l 17,23	...Mbégnañga nu, mut Filistia nu Gat...1samuel 17,23
Soga mbāȳ soga mùt.	Sôga mbāȳ sôga mut.
Màŋgɛ ŋwı̀i jwɛ̀m.	Mañge ñwii jwem.
Jògi li njɛ̄ ɓee.	Jôgi li nje béé.
Ŋgàndàk ɓòt ı̀ ńyı̄ litı̀ŋ lini lɛ ù ǹnɔl ɓâŋ.	Ñgandak bôt i nyi litiñ lini le u nnol bañ.
Kii i ù mɓāgdɛ mû?	Kii i u mbagde mu?
Kɔɔŋgɛ̀ hı̀ɓɛ̀ɛ nlamb.	Kooñge hibee nlamb.
Ɓàa mùt bı̀nàm à nlà uŋgūs nûmpɛ?	Baa mut binam a nla uñgus numpe?
Mùdàa à ǹtɔnɓa liɓu.	Mudaa a ntonba libu.
À gwèe lı̀biɛ ŋgàndàk.	A gwéé libie ñgandak.
Àvı̀ɔ̂ŋ à nnyɔ̄di yaga ndigi lɛ̀n juu.	Avioñ a nnyodi yaga ndigi len juu.
À ŋkɔ̄ɔŋa ni ndùdù.	A ñkooña ni ndudu.
Lı̀tam li kagā.	Litam li kaga.
Mùt nunu à yè ǹhyomôk ŋgàndàk.	Mut nunu a yé nhyômôk ñgandak.
Mùt nunu à yè ǹhyomôk ŋgàndàk.	Mut nunu a yé nhyômôk ñgandak.
Màlep ma ŋŋeba ŋgandàk.	Malép ma ññéba ñgandak.
Mùt nuu à tee nyɔ̀ɔ.	Mut nuu a téé nyoo.
Mùt nuu à tee nyɔ̀ɔ.	Mut nuu a téé nyoo.
Màjò à nlɛk seya mayɔ̀ɔ̀ ma nyòl.	Majô a nlek séya mayoo ma nyôl.
Ɓɔ̀blà mpɛmbɛ nı̀ ɓɔ̀ɓla moo (=ǹtumba) bi nùŋla hanânɔ ŋgandàk.	Bobla mpembe ni bobla môô (=ntumba) bi nuñla hanano ñgandak.
À ŋ̀ɔŋ kek ɓàtɔ̀nɛ̀ kı̀i wàɛnɛ i bikay.	A ñoñ kék batone kii waene i bikay.
Ɓàa ù ǹsogòp ŋwaa lɛ ù jɛk ɛ?	Baa u nsôgôp ñwaa le u jek e?
Mùnlom nı̀ kùdi ŋɔ.	Munlôm ni kudi ño.
Mbòdà yɛ̀m ı̀ni.	Mbôda yem ini.
Dı̀ɓoda di ŋɔ̄ i mbēega yês.	Dibôda di ño i mbééga yés.
À ŋ̀kɛ bı̄sày (i lāp bisày).	A ñke bisay (i lap bisay).
Hı̀tii hi ŋkahal ɓɛ̄ nɔp.	Hitii hi ñkahal be nop.
Hôp yɛ̂m i m[244]ɓugı̂.	Hôp yem i m[244]bugi.
Mǎn mùnlom nu à kɔ̀nɔk à m̂pedı̂! ŋ̀kòò u mpedı̂.	Man munlôm nu a konok a mpédi! ñkôô u mpédi.
À ŋ̀ŋom mɛ kūdâ .	A ññôm me kuda .
Biɓèe Nyambɛ à hɛ̌k ŋgı̀i nı̀ ı̀si.	Bibéé Nyambe a hek ñgii ni isi.
Lı̀sɔk li nyik li ye màjɛ!	Lisok li nyik li yé maje!
M̀pàmsi tolɛ̀.	Mpamsi tôle.
Sɛ̀l i ŋkuı̂ .	Sel i ñkui .
Mùt à ŋkɛ̀ hâbhàp.	Mut a ñke habhap.
Màlêt à ŋùdus bitı̀tiı̄.	Malét a ñudus bititii.
Mɛ̀ gi kɛ̀nɛ̀k lɛ̀n mɛ̀ pam ɛ?	Me gi kenek len me pam e?
Màm ma ńyilā yubdayùbdà ikède mı̀ntoŋ mı̀hɔgi.	Mam ma nyila yubdayubda ikédé mintôñ mihogi.
Maŋ mût unu u ye mùt dı̀ŋgonok .	Mañ mut unu u yé mut diñgônôk .
Leehɛ m̂ɓàyɛ̀ i ye mɛ̀ɛnı̄.	Lééhe mbaye i yé meeni.
Ǹten nyɔɔ.	Ntén nyoo.
Wɔ̀m wɛ̂m u ŋkwegà.	Wom wem u ñkwéga.
À biyòŋha mɛ bı̀ɓeba bi bitatam.	A biyôñha me bibéba bi bitatam.
I nɔ̀p nunu à yè nı̀ màtanga.	I nop nunu a yé ni matanga.
À ǹlegɓa tok m̂pɛ̀lɛ.	A nlégba tôk mpele.
À Ɓama - èe, mɛ̀ nenu!	A Bama - éé, me nénu!
Bı̀nyùù bi gweē nyɛ̄.	Binyuu bi gwéé nye.
I ɓa ɓe wɛ̂ dı̀ nlà ɓe kôs tɔhı̂.	I ba bé we di nla bé kôs tohi.
Màkè mɛ̂m ma bisèŋa ɓɛ̂hɛɛ.	Maké mem ma biséña behee.
Ɓɔdà piyà i ye lām ni ɓɔ̀blà.	Boda piya i yé lam ni bobla.
Sɔ yɔ̌m à ŋkwɔ̀ ɓûm!	So yom a ñkwo bum!
Mɛ̀ ntı̀ı̀mba top nlèlèm u hyembi.	Me ntiimba tôp nlélém u hyémbi.
Hyòò hi pondol hi hɔ̄ɔ ŋgandàk.	Hyôô hi pôndôl hi hoo ñgandak.
Hyèe hi nlɔ̄ŋ ndɔŋ ndɔŋ.	Hyéé hi nloñ ndoñ ndoñ.
Kɔ̀p hikòa.	Kop hikôa.
Nyùŋga ı̀ yè jàm li pêk.	Nyuñga i yé jam li pék.
Lı̀ɓamb gwɛ̌p.	Libamb gwep.
À ŋkɛ̀ hyɛ̂bhyɛ̀p .	A ñke hyebhyep .
Mɛ̀ nnɔ̄k mɓegla.	Me nnok mbégla.
Hı̀un Nyambɛ hı̄ tiŋı̄ nı̀ nu à ǹnogol ɓe man (Yòh.3:36).	Hiun Nyambe hi tiñi ni nu a nnôgôl bé man (Yôh.3:36).
Lı̀kɔ̀y ǹyòl; lı̀kɔ̀y hı̀ɓoy.	Likoy nyôl; likoy hibôy.
Bı̀tèk bi gapēmhɛnɛ wɛ bı̀lɔ̀ɔ nı̀ ǹjôm? ǹjòm?, Biɓ 3,18.	Biték bi gapémhene we biloo ni njôm? njôm?, Bib 3,18.
Lı̀ɓɛ̀bɛ li ndap.	Libebe li ndap.
Ho màhòhà ma mût.	Hô mahôha ma mut.
Hı̀sat hi mɓèna yên matōm ma ndap.	Hisat hi mbéna yén matôm ma ndap.
Mùt à ǹyubul maɓàdò.	Mut a nyubul mabadô.
Màŋgɛ à ǹhɛmɛl ŋwɛmɛ̄l, lı̀hɛp li kahal jòp.	Mañge a nhemel ñwemel, lihep li kahal jôp.
Mɛ nhōgol ŋwɛ̀l lep.	Me nhôgôl ñwel lép.
Ɓàà ndi nyɛ nı̀ hı̀cagyaŋ hyee? .	Baa ndi nye ni hitjagyañ hyéé? .
Mɛ̀ ǹnɔl hitòn i wɔ̀m wɛ̂m nı̀ ŋgaa.	Me nnol hitôn i wom wem ni ñgaa.
Richard Herbert Njock à bigwēe njɔà.	Ritjhard Hérbért Njôtjk a bigwéé njoa.
Ndèŋg lı̀ɓok ı̀ mɓèna ɓe peyes mût.	Ndéñg libôk i mbéna bé péyés mut.
Mɛ̀ ŋ̀edēs mbɔt i ɓaɓiinà.	Me ñédés mbot i babiina.
Hı̀maŋa hi nsūhnɛ malep.	Himaña hi nsuhne malép.
Hı̀ɓaŋg hi ŋ́wât mɛ kòò wɔnsô.	Hibañg hi ñwat me kôô wonsô.
Màɓɛ̀l ma ŋkěn mùdàa ma ntı̄hba Seôl (Bı̀ŋgèŋgên 5,5).	Mabel ma ñkén mudaa ma ntihba Séôl (Biñgéñgén 5,5).
Ɓěsnà nyɛ dı̀ ŋ̀kwı̂yha bilambɛ̀ gwes.	Bésna nye di ñkwiyha bilambe gwés.
..Sambal ǹhoobàk wɔŋ kwadɛ, u ɓumbūl! Màs 14,15.	..Sambal nhôôbak woñ kwade, u bumbul! Mas 14,15.
Hı̀ɓamńyògol hi nnɔ̀ŋ kuumba .	Hibamnyôgôl hi nnoñ kuumba .
Mɛ̀ ŋ̀kɛ̂ i ŋkı̀ı̀ŋà.	Me ñke i ñkiiña.
Mɛ̀ ŋ̀kɛ bı̄kāy.	Me ñke bikay.
Îni à ŋ̀kɛ ı̄ ŋgwàt (ı̀) m̂ɓòŋ.	Ini a ñke i ñgwat (i) mbôñ.
Màŋgɛ nunu à ŋ̀lɛgɛp i ɛ̄mblɛ̀ ŋ̀kwɛ̀l.	Mañge nunu a ñlegep i emble ñkwel.
Ɓàpùma mɛ̀ ǹjɛ ɓa nnyı̀s mɛ ŋgàndàk.	Bapuma me nje ba nnyis me ñgandak.
Ok mùdàa.	Ôk mudaa.
Lı̀tam li kôyɓàk ɓèlètètè kı̀i màcěl.	Litam li kôybak bélétété kii matjél.
Nyògol à ǹlɔ̂ i pōdôs mɛ̀.	Nyôgôl a nlo i pôdôs me.
Ǹsà nsòa (lı̀nyà li nsòa).	Nsa nsôa (linya li nsôa).
Mùt à mɓūumba (i) tùŋ yeē.	Mut a mbuumba (i) tuñ yéé.
Mǎnkeē nu mùdàa à ŋ̀ugus mɛ̂.	Mankéé nu mudaa a ñugus me.
Mǎnkeē nu mùdàa à ŋ̀ugus mɛ̂.	Mankéé nu mudaa a ñugus me.
Ɓa nyus nyɛ mbòŋ.	Ba nyus nye mbôñ.
Kı̀dà ŋkɔ̌k.	Kida ñkok.
Lı̀sas li ŋgɔ̂nd.	Lisas li ñgond.
Dı̀ ŋgwɛ̀ makɔ̀ndɔ̀ nı̀ ɓı̀ŋg.	Di ñgwe makondo ni biñg.
À ŋkı̄t bijɛk kwēp .	A ñkit bijek kwép .
Lı̀lǎŋ li nnùmb lɔŋgɛ njı̂ŋ.	Lilañ li nnumb loñge njiñ.
Kolı̂ sibà i ye ǹten sibà ɓa ŋkāndal ŋgi ǹnum.	Kôli siba i yé ntén siba ba ñkandal ñgi nnum.
Mùdàa ǹlamb à ǹha bikùlɛ i nùga.	Mudaa nlamb a nha bikule i nuga.
Lı̀tɔlɛ̀ li mpedi mɛ ı̄ jɔ̄mbɛ̂!	Litole li mpédi me i jombe!
Ɓòt ɓa hilùga ɓa ŋ́wɔ̄ ɓe nyuu.	Bôt ba hiluga ba ñwo bé nyuu.
Ɓa ŋkôt ŋgɛŋ; ŋgɛŋ ı̀ ǹtagɓɛ̀; ŋgɛŋ ina nyɛ̄n mɛ̀ mɓèna tôdnɛ̀.	Ba ñkôt ñgeñ; ñgeñ i ntagbe; ñgeñ ina nyen me mbéna tôdne.
Yaliɓùm yɔn wɛ̀ ù mɓɔ̀ŋ.	Yalibum yon we u mboñ.
Ŋ̀ŋwɛ̀k wɛ̂m u mmâl wɔ̄.	Ññwek wem u mmal wo.
À ŋāŋ kaàt màua.	A ñañ kaat maua.
Wɛ̌n ù m̂pûdɓaha nyɛ mû mahɔp mâ.	Wen u mpudbaha nye mu mahop ma.
Mɛ̀ nlɛ̄ɛŋgɛ ni mbēgde.	Me nleeñge ni mbégdé.
Hyèe hi nsiynɛ nyɛ mbɔt i ndāp.	Hyéé hi nsiyne nye mbot i ndap.
À ŋ̀kwɔ ɓeba mbɛ̂k.	A ñkwo béba mbek.
M̀maŋ mudàà u nti nyɛ ndù	Mmañ mudaa u nti nye ndu
Mùt à ŋ̀kɛk jâm.	Mut a ñkek jam.
Mɛ̀ gwèe lɔŋgɛ ŋgwɔ cɔ̀bi i Kàya .	Me gwéé loñge ñgwo tjobi i Kaya .
Pàgal mɛ̀ mu (ı̄) hɔ̄t ɓa bikèènɛ mɛ (ı̄) ndı̀dı̀ (Hyembi 31,5).	Pagal me mu (i) hot ba bikééne me (i) ndidi (Hyémbi 31,5).
Cugul mɛ̀ bı̀tòŋ i ncɔ̄bɔ.	Tjugul me bitôñ i ntjobo.
À nnɔ̀ŋ mɛ kı̄giikı̀gı̀ı̀.	A nnoñ me kigiikigii.
Ŋguu ı̀ WONYU lɛ "ndoŋ lɔ̀lɔ̀k".	Ñguu i WÔNYU le "ndôñ lolok".
Mɛ̀ ɓâk nyɔ̀nɔ i nɔ̀mbà.	Me bak nyono i nomba.
Lı̀ɓàdàk jee li mbadgà li nòlhà.	Libadak jéé li mbadga li nôlha.
Yesù à ɓât Petrò lɛ: "Bı̀kiŋɛ bı̀ hisi bi nyòŋol ɓɔ njɛ̄ɛ ntɔla tɔ̀ tâs?" (Màt.17,25).	Yésu a bat Pétrô le: "Bikiñe bi hisi bi nyôñôl bo njee ntola to tas?" (Mat.17,25).
Ù ntɔ̄nda nunu màŋgɛ mudàa.	U ntonda nunu mañge mudaa.
Njèe ı̀ mɓɛ̄ sûdmàn.	Njéé i mbe sudman.
Ǹlàhɔp à mɓèna pɛɛ̄ mâm.	Nlahop a mbéna pee mam.
"Antı̀okı̀à nyɛn ɓànigı̂l ɓa ɓòdol sèblana lɛ ɓòt ɓa Krı̂stò"MƁ 11:26.	"Antiôkia nyen banigil ba bôdôl séblana le bôt ba Kristô"MB 11:26.
À ŋ̀êgɓaha nyɛ liɓāy.	A ñégbaha nye libay.
Edɛ mɛ̀ ndèk jàm mu ı̄ ŋgı̀i!	Éde me ndék jam mu i ñgii!
Ɓana ɓòdàa ɓa nnı̄bna gwɔm.	Bana bôdaa ba nnibna gwom.
Mǎn sōnda à ntēgɓaha matoà i màkanda.	Man sônda a ntégbaha matôa i makanda.
Yuugana mɛ̀ màlêt wɛ̀m.	Yuugana me malét wem.
Ndi kiŋ ɓàkòt dı̀lùŋ...tɔ̀ ı̀ ɓàtop cèmbi, tɔ̀ ı̀ ɓàhɛm dı̀kɔs, tɔ̀ ı̀ ɓàhɛm sēp ı̀ ganōoga ha ɓee (Màs18,22).	Ndi kiñ bakôt diluñ...to i batôp tjémbi, to i bahem dikos, to i bahem sép i ganôôga ha béé (Mas18,22).
Ndi kiŋ ɓàkòt dı̀lùŋ...tɔ̀ ı̀ ɓàtop cèmbi, tɔ̀ ı̀ ɓàhɛm dı̀kɔs, tɔ̀ ı̀ ɓàhɛm sēp ı̀ ganōoga ha ɓee (Màs18,22).	Ndi kiñ bakôt diluñ...to i batôp tjémbi, to i bahem dikos, to i bahem sép i ganôôga ha béé (Mas18,22).
Ndi kiŋ ɓàkòt dı̀lùŋ...tɔ̀ ı̀ ɓàtop cèmbi, tɔ̀ ı̀ ɓàhɛm dı̀kɔs, tɔ̀ ı̀ ɓàhɛm sēp ı̀ ganōoga ha ɓee (Màs18,22).	Ndi kiñ bakôt diluñ...to i batôp tjémbi, to i bahem dikos, to i bahem sép i ganôôga ha béé (Mas18,22).
Màŋgɛ à ŋ̀kandı̂.	Mañge a ñkandi.
Kodi ı̄ lɛ̄m (i) lɔ̂ŋ.	Kôdi i lem (i) loñ.
Lı̀wanda jɛ̂m li ncelel mɛ lı̄sūk li njɛ̂l.	Liwanda jem li ntjélél me lisuk li njel.
Mɛ̀ ǹsahal ńyòl.	Me nsahal nyôl.
Oŋol mɛ̀ jàdɛ̂ mɛ ɓɛgɛ̄ɛ ǹhɔ̀n moo.	Ôñôl me jade me begee nhon môô.
Râs ɓàsàa.	Ras basaa.
Wɔ̀ɔ̀ u nnyɛ̀ŋg nyɛ kı̀kı̀p.	Woo u nnyeñg nye kikip.
Mɛ̀ ńyɔ̀ŋ makalâk lòŋnı̀ kɔglɔ likɔ̀ndɔ̀.	Me nyoñ makalak lôñni koglo likondo.
Mùt à mɓɛ̀l à ta ɓe jâm tɔ̀ nu à ŋkōp malep ndigi Nyāmbɛ nū à nhōlôs (1Kɔ̀r 3,6).	Mut a mbel a ta bé jam to nu a ñkôp malép ndigi Nyambe nu a nhôlôs (1kor 3,6).
Hɛɛ mbɔ̀m ı̀ ŋ̀ombɓɛ̀nɛ̀?	Hee mbom i ñômbbene?
Mùt à mɓògol mɛ ɓɛ̄ɛ.	Mut a mbôgôl me bee.
Ti mɛ̀ tok, mɛ̀ nsòòɛnɛ sûp.	Ti me tôk, me nsôôene sup.
Kèbel i bijɛk.	Kébél i bijek.
Njɛ̀hɛ̀l nyɔ̀ɔ.	Njehel nyoo.
I mpōp puum.	I mpôp puum.
Pastò à ǹsaŋgal ndap lı̀ɓiı̂.	Pastô a nsañgal ndap libii.
Lı̀kùdlàk jɔŋ li maen; lı̀kùdlàk li ɓôt i gwèt.	Likudlak joñ li maén; likudlak li bôt i gwét.
..Mbɛ̀ŋgɛ maa i têmb ǹsɛŋgɛ isi (Yès 40,4).	..Mbeñge maa i témb nseñge isi (Yés 40,4).
..Mbɛ̀ŋgɛ maa i têmb ǹsɛŋgɛ isi (Yès 40,4).	..Mbeñge maa i témb nseñge isi (Yés 40,4).
À ǹnyɔ maɔ̀k, à kahal ndàmdà; mùt à ndàmda ni hɔ̄p.	A nnyo maok, a kahal ndamda; mut a ndamda ni hop.
Yɔ̌ŋ yı̄hɛ lɛ ù kwɔ̀ ɓâŋ i jùu.	Yoñ yihe le u kwo bañ i juu.
Njoŋgo cɔ̀bi.	Njôñgô tjobi.
Kii i ntēhɓaha wɛ̂?	Kii i ntéhbaha we?
À m̂ɓehlɛ̄nɛ so i kède ndāp.	A mbéhlene sô i kédé ndap.
Njɛ à ǹneembaha hini hı̀ŋgɔ̀ndà?	Nje a nnéémbaha hini hiñgonda?
Ŋ̀kɔ̀gâ nı̀ ŋgɔ̀k u nsòghana i mbūs.	Ñkoga ni ñgok u nsôghana i mbus.
Ɓakēŋa à ǹsulūl mɛ̂ = à ŋ̀kɔgɔ̄ɔ mɛ̂.	Bakéña a nsulul me = a ñkogoo me.
Kii i mpèmlaha wɛ̂?	Kii i mpémlaha we?
Hɛɛ ù ŋ̀edel ɓɔ?	Hee u ñédél bo?
Mǎn à ŋ̀kuubɛ̀.	Man a ñkuube.
Ɓòt ɓâ ɓa nteba i kède nân.	Bôt ba ba ntéba i kédé nan.
Jòòga li ye hūlul yɛ̂m i ɓakwadɛ .	Jôôga li yé hulul yem i bakwade .
Nunu mùdàa à mpùa bijɛk.	Nunu mudaa a mpua bijek.
Mùt hep; mùt pèl.	Mut hép; mut pél.
À ǹtɛhɛ mɛ̂ à tagɓɛ mɓàyoŋgo.	A ntehe me a tagbe mbayôñgô.
Ɓa nyɔ̀hna mambɔt i màlep.	Ba nyohna mambot i malép.
Sanɛ yɛ̂m ini!	Sane yem ini!
À ǹyilā ɓeba mût.	A nyila béba mut.
Ŋ̀kòt nyɔɔ u ntōbâ.	Ñkôt nyoo u ntôba.
Ɓakwɛ̄ŋ à m̂mâl mɛ ɓɔ̀blà moo i ndāp.	Bakweñ a mmal me bobla môô i ndap.
Papamà bilı̀m.	Papama bilim.
Amb kōŋâk i sı̄ maɓòyɛ̀.	Amb kôñak i si mabôye.
Himbii mɛ̀ hı̀pùma hyada.	Himbii me hipuma hyada.
Lı̀oŋol jɛ̂m li ta ɓēe lilam.	Liôñôl jem li ta béé lilam.
Joseph à ɓa à mògi ı̄ ndāp mɔ̀k.	Jôséph a ba a môgi i ndap mok.
Lògkeē yɔso ı̄ bikɛ̀.	Lôgkéé yosô i bike.
Kiŋɛ yěs ı̀ yè ǹhêmlɛ̀; kiŋɛ mùdàa.	Kiñe yés i yé nhémle; kiñe mudaa.
Yòò i ŋkùŋı̀.	Yôô i ñkuñi.
Ŋwàà wɛ̂m à ŋkòògà.	Ñwaa wem a ñkôôga.
Ɓèŋel wɛ̀mɛ̀dɛ ŋkuu ni màɓam ma gofɛ̀r (Bı̀ɓ 6,14).	Béñél wemede ñkuu ni mabam ma gôfer (Bib 6,14).
Jǒm mbòk tân.	Jôm mbôk tan.
Dı̀san di mbɔk di ntùlul ɓambɔmbɔ̀k.	Disan di mbok di ntulul bambombok.
Màek ma ŋgɔ̂nd ma ntòl ha ɓe.	Maék ma ñgond ma ntôl ha bé.
À ǹteblaha nyɛ ŋgı̀m kı̂sı̀n, dı̀ ǹteblaha mandap mes.	A ntéblaha nye ñgim kisin, di ntéblaha mandap més.
Yesù à biɓòmla i mbāsa.	Yésu a bibômla i mbasa.
Mɛ̀ nı̀ nyɛ dı̀ kwèha kègsɛ̀ ŋwı̀ı̀ wada.	Me ni nye di kwéha kégse ñwii wada.
Mbàm ùm (MLY).	Mbam um (MLY).
Lı̀hel li ŋkòmɛ̀ lini i lēp.	Lihél li ñkôme lini i lép.
"I nsòmbla ndigi nı̀ ɓɔ̀kindāk lɛ hi wadā a lêbna màliga" (I Kɔ̀r. 4:2).	"I nsômbla ndigi ni bokindak le hi wada a lébna maliga" (I Kor. 4:2).
Kı̀i ɓɔ̀ŋgɛ ɓa nnɔk liyògɓɛ̀ ɓɔ ɓatân ɓa ɓêmha masu i ŋwɛ̀mɛl.	Kii boñge ba nnok liyôgbe bo batan ba bémha masu i ñwemel.
Kɔ̀mbɛ̀ à ŋ̀kɔɔ cay.	Kombe a ñkoo tjay.
Bı̀nyùu bi gweē nyɛ̄.	Binyuu bi gwéé nye.
Ɓòt ɓa ŋkɔ̀n binyɔ̀ɔ̀ wɔ̀ŋi.	Bôt ba ñkon binyoo woñi.
Sàây ı̀ mɓɛ̄ i ŋgèdà ı̀ ǹnogda mût jùu tɔ̀ bı̀njǎŋmùha.	Saay i mbe i ñgéda i nnôgda mut juu to binjañmuha.
Mɛ̀ kɛ̀ɛ ŋgwà wada i jɔ̀gɔ̂p i lɔ̀m.	Me kee ñgwa wada i jogop i lom.
Mı̀m lep u kegi .	Mim lép u kégi .
Ɓèe nı̀ ɓèe nı̀ njɛ̄na kı̀kı̀i cɔ̀bi!	Béé ni béé ni njena kikii tjobi!
...Aŋgɛ̀l Ŋwɛ̌t ı̀ pemel Yōsèf...(Màt 1,20).	...Añgel Ñwet i pémél Yôséf...(Mat 1,20).
Minlòŋ mi lɔ̂ŋ yes mi nhònd inyùu ǹtɛba ɓaànɛ̀.	Minlôñ mi loñ yés mi nhônd inyuu nteba baane.
Ɓèl mùt (i) nyɔ̀.	Bél mut (i) nyo.
Ɓa ncōl ɓayà dı̀kuu.	Ba ntjôl baya dikuu.
À ǹcɔ bikàbi.	A ntjo bikabi.
M̀ɓalgɛ̀ joy.	Mbalge jôy.
Ǹlòmbi malêt unu!	Nlômbi malét unu!
Hǒkōo, ɓàa loŋ ɛ? .	Hôkôô, baa lôñ e? .
Gwɛ̀dgwɛ̀t lɛ mɛ̀ jɛ̂k mɓòŋ ı̀ lɔ̀ɔ̀ lɛ mɛ̀ lal njâl.	Gwedgwet le me jek mbôñ i loo le me lal njal.
Màkɔ̀ndɔ̀ ma ŋkiı̂.	Makondo ma ñkii.
Màomào ma lı̀ɓàdò; popos ŋgɔ̂k i maomào (Esther 1,6).	Maômaô ma libadô; pôpôs ñgok i maômaô (Ésthér 1,6).
Ɓa ye ǹtoŋ ɓôt u ū nsēelànà.	Ba yé ntôñ bôt u u nséélana.
Ŋ̀kɔkɔ̀n à yè ɛlgɛ.	Ñkokon a yé elge.
Lı̀ɓòk li njêk li tee mû ŋkɔ̀ŋ wɛ̂m.	Libôk li njék li téé mu ñkoñ wem.
Ɓa nnidil nyɛ ŋ̀kòò i jɔ̀ɔ.	Ba nnidil nye ñkôô i joo.
